,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
444,7.83,25,Milk and Honey,4.7,"53,564",Rupi Kaur,Paperback,2016
445,3.97,26,The Going To Bed Book,4.8,"16,758",Sandra Boynton,Board book,2016
446,16.99,27,Born to Run,4.7,"7,401",Bruce Springsteen,Hardcover,2016
447,11.50,28,Alexander Hamilton,4.7,"31,526",Ron Chernow,Paperback,2016
448,6.56,29,The Very Hungry Caterpillar,4.9,"57,968",Eric Carle,Board book,2016
449,20.80,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,"9,341",Stephen R. Covey,Paperback,2016
450,8.36,51,Fahrenheit 451,4.6,"46,708",Ray Bradbury,Paperback,2016
451,4.98,52,Love You Forever,4.9,"57,802",Robert Munsch,Paperback,2016
452,7.12,53,The Great Gatsby: The Only Authorized Edition,4.4,"13,718",F. Scott Fitzgerald,Paperback,2016
453,23.00,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",4.6,Patrick Lencioni,,Hardcover,2016
454,18.26,55,All the Light We Cannot See,4.5,"212,137",Anthony Doerr,Hardcover,2016
455,4.94,56,"Brown Bear, Brown Bear, What Do You See?",4.9,Bill Martin Jr.,,Board book,2016
456,13.89,57,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,"136,540",Paulo Coelho,Paperback,2016
457,10.52,58,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",4.9,"10,502",Priscilla Shirer,Paperback,2016
458,15.68,59,The Whistler,4.4,"59,468",John Grisham,Hardcover,2016
459,4.19,60,If Animals Kissed Good Night,4.8,"72,050",Ann Whitford Paul,Board book,2016
460,17.84,61,Cooking for Jeffrey: A Barefoot Contessa Cookbook,4.7,"2,555",Ina Garten,Hardcover,2016
461,11.20,62,"The Trials of Apollo, Book 1: The Hidden Oracle",4.7,"20,171",Rick Riordan,Hardcover,2016
462,4.99,63,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),4.5,"5,902",Rob Elliott,Paperback,2016
463,4.02,64,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),4.8,Golden Books,,Hardcover,2016
464,21.88,65,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,"39,611",Brené Brown,Paperback,2016
465,14.35,66,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",4.2,"7,742",Gary J. Byrne,Hardcover,2016
466,5.99,67,First 100 Animals,4.8,"9,799",Roger Priddy,Board book,2016
467,8.99,68,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",4.5,"3,174",Coloring Books for Adults,Paperback,2016
468,5.36,69,Goodnight Moon,4.9,"26,556",Margaret Wise Brown,Board book,2016
469,9.05,70,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.8,"12,007",Brené Brown,Paperback,2016
470,8.89,71,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children),4.3,"36,607",Ransom Riggs,Paperback,2016
471,15.46,72,Grit: The Power of Passion and Perseverance,4.6,"17,354",Angela Duckworth,Hardcover,2016
472,14.98,73,Emotional Intelligence 2.0,4.5,"12,407",Travis Bradberry,Hardcover,2016
473,13.93,74,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,4.5,"32,052",Colson Whitehead,Hardcover,2016
474,8.46,75,The Outsiders,4.8,"35,085",S. E. Hinton,Paperback,2016
475,27.99,76,The Food Lab: Better Home Cooking Through Science,4.9,"9,591",J. Kenji López-Alt,Hardcover,2016
476,17.95,77,Me Before You: A Novel (Movie Tie-In),4.6,"1,233",Jojo Moyes,Paperback,2016
477,4.59,78,Chicka Chicka Boom Boom (Board Book),4.9,Bill Martin Jr.,,Board book,2016
478,8.53,79,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,Valorie Schaefer,,Paperback,2016
479,7.99,80,Potty (Leslie Patricelli board books),4.7,"13,551",Leslie Patricelli,Board book,2016
480,9.40,1,Wonder,4.7,"82,591",R. J. Palacio,Hardcover,2017
481,7.83,2,Milk and Honey,4.7,"53,564",Rupi Kaur,Paperback,2017
482,5.94,3,Giraffes Can't Dance,4.8,Giles Andreae,,Board book,2017
483,14.09,4,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,"104,033",Mark Manson,Hardcover,2017
484,7.81,5,The Getaway,4.8,"23,494",Jeff Kinney,Hardcover,2017
485,11.57,6,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,4.4,"12,801",Laurel Randolph,Paperback,2017
486,14.63,7,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,"43,015",J. D. Vance,Hardcover,2017
487,9.99,8,Astrophysics for People in a Hurry,4.7,"22,986",Neil deGrasse Tyson,Hardcover,2017
488,4.78,9,First 100 Words: A Padded Board Book,4.7,"36,371",Roger Priddy,Board book,2017
489,15.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,Melissa Hartwig Urban,,Hardcover,2017
490,9.53,11,The Handmaid's Tale,4.3,"150,517",Margaret Atwood,Paperback,2017
491,8.39,12,The 5 Love Languages: The Secret to Love that Lasts,4.8,"88,040",Gary Chapman,Paperback,2017
492,8.89,13,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,"44,531",Jen Sincero,Paperback,2017
493,14.72,14,What Happened,4.6,"7,791",Hillary Rodham Clinton,Hardcover,2017
494,8.48,15,"Oh, the Places You'll Go!  ",4.9,"45,619",Dr. Seuss,Hardcover,2017
495,11.58,16,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,4.7,Admiral William H. McRaven,,Hardcover,2017
496,7.48,17,1984,4.6,"102,879",George Orwell,Mass Market Paperback,2017
497,10.30,18,How to Win Friends & Influence People (Dale Carnegie Books),4.7,"104,601",Dale Carnegie,Paperback,2017
498,15.99,19,Origin: A Novel (Robert Langdon),4.4,"70,430",Dan Brown,Hardcover,2017
499,12.54,20,A Man Called Ove: A Novel,4.6,"180,539",Fredrik Backman,Paperback,2017
500,8.89,21,The Sun and Her Flowers,4.8,"18,422",Rupi Kaur,Paperback,2017
501,5.00,22,Dear Zoo: A Lift-the-Flap Book,4.8,Rod Campbell,,Board book,2017
502,7.74,23,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,"105,284",Don Miguel Ruiz,Paperback,2017
503,3.97,24,The Going To Bed Book,4.8,"16,758",Sandra Boynton,Board book,2017
504,20.96,25,StrengthsFinder 2.0,4.1,Gallup,,Hardcover,2017
505,9.40,26,The Wonderful Things You Will Be,4.9,"27,383",Emily Winfield Martin,Hardcover,2017
506,10.43,27,The Shack: Where Tragedy Confronts Eternity,4.6,"40,920",William P. Young,Paperback,2017
507,8.89,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,Marie Kondō,,Hardcover,2017
508,16.98,29,"Option B: Facing Adversity, Building Resilience, and Finding Joy",4.5,"4,001",Sheryl Sandberg,Hardcover,2017
509,27.03,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,Thug Kitchen,,Hardcover,2017
510,8.53,51,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,Valorie Schaefer,,Paperback,2017
511,10.44,52,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",4.7,"10,635",Lysa TerKeurst,Paperback,2017
512,15.23,53,Big Little Lies,4.4,"152,702",Liane Moriarty,Paperback,2017
513,,54,The Official SAT Study Guide,4.5,"2,396",The College Board,Paperback,2017
514,17.00,55,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,4.6,Melissa Hartwig Urban,,Hardcover,2017
515,11.29,56,"Thinking, Fast and Slow",4.6,"39,265",Daniel Kahneman,Paperback,2017
516,8.89,57,"Jesus Calling, Padded Hardcover, with Scripture references",4.9,"39,374",Sarah Young,Hardcover,2017
517,12.70,58,What to Expect When You're Expecting,4.8,"30,677",Heidi Murkoff,Paperback,2017
518,11.24,59,The Glass Castle: A Memoir (book),4.6,"37,709",Jeannette Walls,Paperback,2017
519,7.12,60,The Great Gatsby: The Only Authorized Edition,4.4,"13,718",F. Scott Fitzgerald,Paperback,2017
520,14.17,61,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,4.7,"2,625",Oprah Winfrey,Hardcover,2017
521,5.68,62,P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,Naomi Kleinberg,,Board book,2017
522,12.71,63,The Rooster Bar,4.2,"22,294",John Grisham,Hardcover,2017
523,10.74,64,The Giving Tree,4.9,"30,361",Shel Silverstein,Hardcover,2017
524,10.09,65,She Persisted: 13 American Women Who Changed the World,4.8,"3,303",Chelsea Clinton,Hardcover,2017
525,6.38,66,On Tyranny: Twenty Lessons from the Twentieth Century,4.7,"21,886",Timothy Snyder,Paperback,2017
526,13.89,67,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,"136,541",Paulo Coelho,Paperback,2017
527,8.36,68,Fahrenheit 451,4.6,"46,708",Ray Bradbury,Paperback,2017
528,13.61,69,Camino Island: A Novel,4.3,"37,087",John Grisham,Hardcover,2017
529,11.34,70,Turtles All the Way Down,4.6,"14,555",John Green,Hardcover,2017
530,21.88,71,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,"39,611",Brené Brown,Paperback,2017
531,4.98,72,Love You Forever,4.9,"57,802",Robert Munsch,Paperback,2017
532,16.05,73,"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",4.8,"4,902",Ree Drummond,Hardcover,2017
533,12.98,74,Mindset: The New Psychology of Success,4.6,"26,347",Carol S. Dweck,Paperback,2017
534,5.00,75,Where Is Baby's Belly Button? A Lift-the-Flap Book,4.8,"13,284",Karen Katz,Board book,2017
535,21.55,76,Grant,4.8,"9,022",Ron Chernow,Hardcover,2017
536,11.55,77,,4.6,840,,,2017
537,21.45,78,Sapiens: A Brief History of Humankind,4.6,"131,704",Yuval Noah Harari,Hardcover,2017
538,17.98,79,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,4.7,"37,437",Benjamin Graham,Paperback,2017
539,16.49,80,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",4.4,Dr. Steven R Gundry  MD,,Hardcover,2017
540,19.59,1,Becoming,4.8,"140,222",Michelle Obama,Hardcover,2018
541,15.80,2,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,"27,934",Rachel Hollis,Hardcover,2018
542,5.28,3,The Wonky Donkey,4.8,"78,866",Craig Smith,Paperback,2018
543,7.66,4,Fire and Fury: Inside the Trump White House,4.2,"22,003",Michael Wolff,Hardcover,2018
544,13.22,5,Fear: Trump in the White House,4.5,"11,469",Bob Woodward,Hardcover,2018
545,16.99,6,Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),4.9,"15,274",Jill Twiss,Hardcover,2018
546,15.94,7,12 Rules for Life: An Antidote to Chaos,4.8,"65,912",Jordan B. Peterson,Hardcover,2018
547,16.59,8,Magnolia Table,4.8,"33,622",Joanna Gaines,Hardcover,2018
548,10.07,9,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,4.6,"10,031",The Staff of The Late Show with Stephen Colbert,Hardcover,2018
549,14.09,10,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,"104,033",Mark Manson,Hardcover,2018
550,5.99,11,"A Higher Loyalty: Truth, Lies, and Leadership",4.7,"9,423",James Comey,Hardcover,2018
551,6.98,12,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,"29,402",Amy Ramos,Paperback,2018
552,8.79,13,Diary of a Wimpy Kid #13: Meltdown,4.8,"25,396",Jeff Kinney,Hardcover,2018
553,8.39,14,The 5 Love Languages: The Secret to Love that Lasts,4.8,"88,040",Gary Chapman,Paperback,2018
554,4.78,15,First 100 Words: A Padded Board Book,4.7,"36,372",Roger Priddy,Board book,2018
555,8.99,16,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),4.9,"17,248",Dav Pilkey,Hardcover,2018
556,14.69,17,Educated: A Memoir,4.7,"97,811",Tara Westover,Hardcover,2018
557,8.89,18,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,"44,531",Jen Sincero,Paperback,2018
558,16.49,19,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",4.4,Dr. Steven R Gundry  MD,,Hardcover,2018
559,5.94,20,Giraffes Can't Dance,4.8,Giles Andreae,,Board book,2018
560,26.10,21,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),4.9,Dungeons & Dragons,,Hardcover,2018
561,20.90,22,Homebody: A Guide to Creating Spaces You Never Want to Leave,4.8,"11,325",Joanna Gaines,Hardcover,2018
562,6.56,23,The Very Hungry Caterpillar,4.9,"57,968",Eric Carle,Board book,2018
563,10.00,24,Crazy Rich Asians (Crazy Rich Asians Trilogy),4.3,"52,373",Kevin Kwan,Paperback,2018
564,12.14,25,The Hate U Give: A Printz Honor Winner,4.8,"30,966",Angie Thomas,Hardcover,2018
565,11.57,26,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,4.4,"12,801",Laurel Randolph,Paperback,2018
566,7.74,27,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,"105,284",Don Miguel Ruiz,Paperback,2018
567,9.40,28,The Wonderful Things You Will Be,4.9,"27,383",Emily Winfield Martin,Hardcover,2018
568,5.68,29,P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,Naomi Kleinberg,,Board book,2018
569,4.98,30,The Pout-Pout Fish,4.8,"25,352",Deborah Diesen,Board book,2018
570,13.89,51,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,"136,541",Paulo Coelho,Paperback,2018
571,9.40,52,Wonder,4.7,"82,591",R. J. Palacio,Hardcover,2018
572,8.89,53,To Kill a Mockingbird,4.7,"128,002",Harper Lee,Paperback,2018
573,15.68,54,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,Melissa Hartwig Urban,,Hardcover,2018
574,18.29,55,The Keto Diet: The Complete Guide to a High-Fat Diet,4.4,"7,560",Leanne Vogel,Paperback,2018
575,11.29,56,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,4.8,"6,848",Bob Goff,Paperback,2018
576,14.97,57,Before We Were Yours: A Novel,4.7,"45,586",Lisa Wingate,Hardcover,2018
577,15.68,58,The Reckoning: A Novel,4.2,"29,928",John Grisham,Hardcover,2018
578,4.94,59,"Brown Bear, Brown Bear, What Do You See?",4.9,Bill Martin Jr.,,Board book,2018
579,13.46,60,Beneath a Scarlet Sky: A Novel,4.7,"90,997",Mark Sullivan,Paperback,2018
580,12.70,61,What to Expect When You're Expecting,4.8,"30,677",Heidi Murkoff,Paperback,2018
581,16.59,62,Principles: Life and Work,4.6,"13,575",Ray Dalio,Hardcover,2018
582,9.99,63,Astrophysics for People in a Hurry,4.7,"22,986",Neil deGrasse Tyson,Hardcover,2018
583,4.99,64,Laugh-Out-Loud Jokes for Kids,4.6,"11,593",Rob Elliott,Paperback,2018
584,17.51,65,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",4.7,"11,414",Anthony William,Hardcover,2018
585,,66,The Official SAT Study Guide,4.5,"2,396",The College Board,Paperback,2018
586,4.99,67,Calm the F*ck Down: An Irreverent Adult Coloring Book,4.6,"21,280",Sasha O'Hara,Paperback,2018
587,8.53,68,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,Valorie Schaefer,,Paperback,2018
588,15.68,69,The Outsider: A Novel,4.6,"32,809",Stephen King,Hardcover,2018
589,14.69,70,Where the Crawdads Sing,4.8,"429,687",Delia Owens,Hardcover,2018
590,27.97,71,D&D Dungeon Master’s Guide (Dungeons & Dragons Core Rulebook),4.9,Dungeons & Dragons,,Hardcover,2018
591,14.70,72,Sapiens: A Brief History of Humankind,4.6,Yuval Harari,,Paperback,2018
592,4.98,73,Love You Forever,4.9,"57,802",Robert Munsch,Paperback,2018
593,9.92,74,Dragons Love Tacos,4.8,"17,455",Adam Rubin,Hardcover,2018
594,14.10,75,The Woman in the Window: A Novel,4.4,"68,212",A. J. Finn,Hardcover,2018
595,27.49,76,D&D Monster Manual (Dungeons & Dragons Core Rulebook),4.9,Dungeons & Dragons,,Hardcover,2018
596,18.29,77,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,4.6,"9,638",Suzanne Ryan,Paperback,2018
597,20.96,78,StrengthsFinder 2.0,4.1,Gallup,,Hardcover,2018
598,17.98,79,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),4.8,"30,986",Jocko Willink,Hardcover,2018
599,14.89,80,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,4.8,"4,808",Gregg Jarrett,Hardcover,2018
600,14.69,1,Where the Crawdads Sing,4.8,"429,687",Delia Owens,Hardcover,2019
601,19.59,2,Becoming,4.8,"140,222",Michelle Obama,Hardcover,2019
602,14.69,3,Educated: A Memoir,4.7,"97,812",Tara Westover,Hardcover,2019
603,6.79,4,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),4.9,"24,558",Dav Pilkey,Hardcover,2019
604,15.80,5,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,"27,934",Rachel Hollis,Hardcover,2019
605,7.76,6,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,"29,478",Dav Pilkey,Hardcover,2019
606,8.96,7,Wrecking Ball (Diary of a Wimpy Kid Book 14),4.9,"18,978",Jeff Kinney,Hardcover,2019
607,9.40,8,The Wonderful Things You Will Be,4.9,"27,383",Emily Winfield Martin,Hardcover,2019
608,10.98,9,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",4.8,"69,754",School Zone,Paperback,2019
609,8.39,10,The 5 Love Languages: The Secret to Love that Lasts,4.8,"88,040",Gary Chapman,Paperback,2019
610,18.00,11,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",4.6,"14,496",Rachel Hollis,Hardcover,2019
611,5.28,12,The Wonky Donkey,4.8,"78,866",Craig Smith,Paperback,2019
612,14.09,13,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,"104,033",Mark Manson,Hardcover,2019
613,6.99,14,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),4.6,"30,452",M Prefontaine,Paperback,2019
614,27.98,15,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8,"21,604",Samin Nosrat,Hardcover,2019
615,6.56,16,The Very Hungry Caterpillar,4.9,"57,968",Eric Carle,Board book,2019
616,11.99,17,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)",4.8,"22,965",Adir Levy,Hardcover,2019
617,17.44,18,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,4.8,"17,800",Lysa TerKeurst,Hardcover,2019
618,6.99,19,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",4.8,"33,067",Hopscotch Girls,Paperback,2019
619,7.74,20,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,"105,284",Don Miguel Ruiz,Paperback,2019
620,13.58,21,Unfreedom of the Press,4.9,"9,354",Mark R. Levin,Hardcover,2019
621,8.99,22,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.9,"19,782",Dav Pilkey,Hardcover,2019
622,5.94,23,Giraffes Can't Dance,4.8,Giles Andreae,,Board book,2019
623,4.19,24,If Animals Kissed Good Night,4.8,"72,050",Ann Whitford Paul,Board book,2019
624,8.48,25,"Oh, the Places You'll Go!  ",4.9,"45,619",Dr. Seuss,Hardcover,2019
625,15.73,26,Howard Stern Comes Again,4.5,"8,061",Howard Stern,Hardcover,2019
626,6.24,27,Guts: A Graphic Novel,4.8,"14,438",Raina Telgemeier,Paperback,2019
627,8.89,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,Marie Kondō,,Hardcover,2019
628,29.98,29,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",4.9,"25,980",J. K. Rowling,Hardcover,2019
629,13.07,30,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),4.8,"18,553",Amy Shields,Hardcover,2019
630,12.00,51,Zen as F*ck (Zen as F*ck Journals),4.7,"24,185",Monica Sweeney,Paperback,2019
631,7.61,52,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,4.7,"83,298",Robert T. Kiyosaki,Mass Market Paperback,2019
632,16.99,53,The Institute: A Novel,4.7,"39,967",Stephen King,Hardcover,2019
633,15.99,54,The Testaments: The Sequel to The Handmaid's Tale,4.6,"45,118",Margaret Atwood,Hardcover,2019
634,32.00,55,Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters,4.8,"21,186",Scholastic,Paperback,2019
635,6.99,56,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,4.5,"20,929",Paper Peony Press,Paperback,2019
636,,57,"Carson Dellosa Sight Words Flash Cards Kindergarten, First Words Flash Cards, High Frequency Vocabulary Words, and Picture Words Flash Cards for Toddlers Ages 4+",4.8,Brighter Child,,Cards,2019
637,13.49,58,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,4.8,"101,004",James Clear,Hardcover,2019
638,11.58,59,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,4.7,Admiral William H. McRaven,,Hardcover,2019
639,21.88,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,"39,611",Brené Brown,Paperback,2019
640,14.70,61,Sapiens: A Brief History of Humankind,4.6,Yuval Harari,,Paperback,2019
641,12.70,62,What to Expect When You're Expecting,4.8,"30,677",Heidi Murkoff,Paperback,2019
642,12.80,63,Where the Crawdads Sing,4.8,"429,687",Delia Owens,Paperback,2019
643,9.05,64,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.8,"12,007",Brené Brown,Paperback,2019
644,13.89,65,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,"136,541",Paulo Coelho,Paperback,2019
645,19.78,66,"Publication Manual of the American Psychological Association, 6th Edition",4.5,"12,906",American Psychological Association,Paperback,2019
646,4.98,67,The Pout-Pout Fish,4.8,"25,352",Deborah Diesen,Board book,2019
647,15.68,68,Talking to Strangers: What We Should Know about the People We Don't Know,4.5,"17,073",Malcolm Gladwell,Hardcover,2019
648,5.00,69,Dear Zoo: A Lift-the-Flap Book,4.8,Rod Campbell,,Board book,2019
649,15.95,70,The Overstory: A Novel,4.4,"17,601",Richard Powers,Paperback,2019
650,8.36,71,Fahrenheit 451,4.6,"46,708",Ray Bradbury,Paperback,2019
651,20.96,72,StrengthsFinder 2.0,4.1,Gallup,,Hardcover,2019
652,15.94,73,12 Rules for Life: An Antidote to Chaos,4.8,"65,912",Jordan B. Peterson,Hardcover,2019
653,8.31,74,Eleanor Oliphant Is Completely Fine: A Novel,4.5,"149,886",Gail Honeyman,Paperback,2019
654,14.00,75,Me: Elton John Official Autobiography,4.8,"24,174",Elton John,Hardcover,2019
655,13.29,76,The Road Back to You: An Enneagram Journey to Self-Discovery,4.7,"10,908",Ian Morgan Cron,Hardcover,2019
656,9.39,77,The Tattooist of Auschwitz: A Novel,4.7,"122,320",Heather Morris,Paperback,2019
657,11.99,78,People of Walmart Adult Coloring Book: Rolling Back Dignity,4.7,Andrew Kipple,,Paperback,2019
658,7.12,79,The Great Gatsby: The Only Authorized Edition,4.4,"13,718",F. Scott Fitzgerald,Paperback,2019
659,10.44,80,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,4.8,America’s Test Kitchen Kids,,Hardcover,2019
